"col0","col1"
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... main"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T true`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EMAIL""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T true`","This is a potential data sink (argument to 'query')."
"`ALTER  ... abled""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... abled""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... abled""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"'ALTER  ... ation""'","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 351b8""`","This is a potential data sink (argument to 'query')."
"`DROP T ... oduct""`","This is a potential data sink (argument to 'query')."
"`CREATE ... S NULL`","This is a potential data sink (argument to 'query')."
"`DROP T ... Meter""`","This is a potential data sink (argument to 'query')."
"'ALTER  ... ntext""'","This is a potential data sink (argument to 'query')."
"`DROP I ... EMAIL""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... edAt"")`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"'ALTER  ... T NULL'","This is a potential data sink (argument to 'query')."
"`ALTER  ... ified""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP T ... tomer""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ified""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... aceId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... omain""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... b39cd""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rsion""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cebf0""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... Panel""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T 'en'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T true`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tname""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ocale""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nName""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" uuid`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 0a658""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... oleId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`CREATE ... NDED')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP T ... ethod""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 361fc""`","This is a potential data sink (argument to 'query')."
"`DROP T ... omain""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`DROP T ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... name"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... abled""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cebf0""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TION')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tname""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  NULL)`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _role""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arUrl""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ataId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1071c""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tions""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`SELECT ... data')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1071c""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ataId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tions""`","This is a potential data sink (argument to 'query')."
"`SELECT ... tions'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tions""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  array`","This is a potential data sink (argument to 'query')."
"`SELECT ...      )`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 4b824""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... df44d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... enums""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ""core""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 4b824""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... df44d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`DROP T ... rsion""`","This is a potential data sink (argument to 'query')."
"`UPDATE ... R_VAR'`","This is a potential data sink (argument to 'query')."
"`CREATE ... NULL')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... aceId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _NULL'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" uuid`","This is a potential data sink (argument to 'query')."
"`UPDATE ... M_VAR'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ction""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... mnMap""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ABLE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP I ... space""`","This is a potential data sink (argument to 'query')."
"`DROP I ... index""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" uuid`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ation""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... IABLE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ation""`","This is a potential data sink (argument to 'query')."
"`DROP T ... erver""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _OIDC""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _SAML""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`UPDATE ... IABLE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`UPDATE ... IABLE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ardId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ardId""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tatus""`","This is a potential data sink (argument to 'query')."
"`CREATE ... rror')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ctive'`","This is a potential data sink (argument to 'query')."
"`CREATE ... _VAR')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... R_VAR'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`CREATE ... SAML')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 'OIDC'`","This is a potential data sink (argument to 'query')."
"`CREATE ... gres')`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`DROP T ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`DROP T ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" text`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ables""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... chema""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 405b2""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... dee26""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 95c3b""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 5e7d6""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 4b824""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... df44d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T true`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 8df93""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... emote""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 3f06a""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`DROP T ... Table""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`DROP T ... ation""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`DROP T ... ource""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`DROP T ... adata""`","This is a potential data sink (argument to 'query')."
"`DROP T ... adata""`","This is a potential data sink (argument to 'query')."
"`DROP T ... adata""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ogged""`","This is a potential data sink (argument to 'query')."
"`CREATE ... SAML')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 'OIDC'`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ables""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rType""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tatus""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ctive'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rType""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tings""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... num)))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... num)))`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ULL)))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ULL)))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" text`","This is a potential data sink (argument to 'query')."
"`CREATE ... ain"") `","This is a potential data sink (argument to 'query')."
"`CREATE ... :text)`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::uuid`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::uuid`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`DROP T ... rsion""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... oolean`","This is a potential data sink (argument to 'query')."
"`ALTER  ... label""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... table""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`DROP T ... adata""`","This is a potential data sink (argument to 'query')."
"`DROP T ... adata""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ... lPath""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`CREATE ... EADY')`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`DROP T ... ction""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rsion""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tedAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tedAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tedAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... eHash""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tedAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... s18.x'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nteger`","This is a potential data sink (argument to 'query')."
"`CREATE ... 'GIN')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`ALTER  ... ntime""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ption""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ceId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`\n      ... ""\n    `","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... lPath""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... table""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... oolean`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rsion""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... lause""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... lause""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... hName""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`DROP I ... space""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... chema""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... hName""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TION')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T '[]'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`CREATE ... eId"") `","This is a potential data sink (argument to 'query')."
"`ALTER  ... taId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... sions""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _NULL'`","This is a potential data sink (argument to 'query')."
"`DROP T ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  '300'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ceId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... teria""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`DROP I ... space""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... = 900)`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rtcut""`","This is a potential data sink (argument to 'query')."
"`CREATE ... NULL')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 03247""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... conds""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _NULL'`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`CREATE ... aId"") `","This is a potential data sink (argument to 'query')."
"`ALTER  ... cords""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... hable""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cords""`","This is a potential data sink (argument to 'query')."
"`CREATE ... aId"") `","This is a potential data sink (argument to 'query')."
"`ALTER  ... rides""`","This is a potential data sink (argument to 'query')."
"`CREATE ... eId"") `","This is a potential data sink (argument to 'query')."
"`ALTER  ... tting""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cords""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cords""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... oolean`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rides""`","This is a potential data sink (argument to 'query')."
"`DROP I ... aceId""`","This is a potential data sink (argument to 'query')."
"`CREATE ... EADY')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ceId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ""icon""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... dc7d4""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP I ... ataId""`","This is a potential data sink (argument to 'query')."
"`DROP I ... ataId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... READY'`","This is a potential data sink (argument to 'query')."
"`DROP T ... m_old""`","This is a potential data sink (argument to 'query')."
"`DROP T ... eRole""`","This is a potential data sink (argument to 'query')."
"`DROP T ... ""role""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`CREATE ... EADY')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`DROP T ... sions""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... m_old""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... READY'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`DROP T ... sions""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 7ed4a""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 15074""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" uuid`","This is a potential data sink (argument to 'query')."
"`ALTER  ... taId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" uuid`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 86ee1""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`CREATE ... aId"") `","This is a potential data sink (argument to 'query')."
"`CREATE ... aId"") `","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`DROP T ... sions""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1071c""`","This is a potential data sink (argument to 'query')."
